id,provider_id,concern,interest_text,note_text,note_date
crm-201,prov-201,clinical-evidence,"Thoracic team wants broader biomarker detection when tissue is limited and is specifically interested in liquid biopsy for actionable variants that may be missed by solid tumor testing alone.","Asked for evidence that combined solid tumor and liquid biopsy testing can capture additional clinically actionable variants in metastatic thoracic disease when tissue samples are limited.",2026-04-08
crm-202,prov-201,clinical-evidence,"Interested in DNA sequencing plus whole transcriptome RNA sequencing to detect driver fusions and altered splicing in difficult-to-profile lung cancer cases.","Requested a concise summary showing how DNA plus RNA sequencing improves fusion detection compared with DNA-only testing for targeted therapy selection.",2026-04-15
crm-203,prov-202,operations,"Program is focused on reducing prior authorization friction and improving clinic throughput rather than expanding molecular testing breadth this quarter.","Leadership discussion centered on staffing pressure, scheduling complexity, and reimbursement workflow rather than new genomic profiling priorities.",2026-04-10
crm-204,prov-202,general,"Open to future education, but current evaluation criteria are operational consistency and easier ordering for existing workflows, not new assay adoption.","Mentioned interest in a simple overview only; no immediate push for RNA sequencing, liquid biopsy, or expanded molecular profiling.",2026-04-18
crm-205,prov-203,clinical-evidence,"Lung cancer physicians want stronger evidence for actionable fusions and faster escalation to targeted therapy options in complex non-small cell lung cancer cases.","Thoracic team is exploring DNA plus RNA sequencing because they believe DNA-only testing may miss driver fusions and clinically important splicing events.",2026-04-12
crm-206,prov-203,roi,"Open to a pilot if it shows clearer therapy selection, improved molecular visibility, and a measurable value story for high-volume solid tumor testing.","Asked whether a focused pilot combining tissue-based profiling with liquid biopsy could improve detection while giving leadership a credible ROI narrative.",2026-04-19
crm-207,prov-204,integration,"Pathology leadership wants tumor-normal matched sequencing to reduce somatic false positives and improve confidence in variant interpretation without disrupting specimen review workflows.","Requested a phased implementation plan that supports molecular pathology workflow, cleaner somatic calling, and more accurate reporting than tumor-only analysis.",2026-04-09
crm-208,prov-204,clinical-evidence,"Interested in AI-enabled genomic reporting, digital pathology support, and concise performance metrics that department leaders can review quickly.","Asked for a short internal summary covering true somatic alteration identification, reduced false-positive calls, and the role of AI capabilities in genomic reporting.",2026-04-17
crm-209,prov-205,clinical-evidence,"Breast oncology lead is interested in tailored testing options, including HER2 ultra-low assessment, homologous recombination deficiency, and hereditary risk visibility.","Requested examples of how a single platform for somatic plus germline testing could support breast oncology decisions and identify patients with hereditary risk.",2026-04-11
crm-210,prov-205,roi,"Budget owner would consider adoption if the team can start with breast cancer use cases and show a structured ninety-day value story.","Asked whether tailored testing solutions and streamlined ordering could support breast cancer workflows without forcing a broad enterprise rollout first.",2026-04-16
crm-211,prov-206,operations,"Community site is mainly trying to improve referral coordination, infusion scheduling, and front-desk throughput across a busy general oncology clinic.","Discussion focused on staffing gaps, appointment access, and reducing administrative burden rather than molecular profiling strategy.",2026-04-07
crm-212,prov-206,operations,"Medical director wants better operational reporting for community outreach and care coordination before considering new precision oncology programs.","Follow-up note emphasized patient access, network growth, and care navigation; no active request for liquid biopsy, RNA sequencing, MRD, or genomic platform changes.",2026-04-18
