id,provider_id,concern,interest_text,note_text,note_date
crm-301,prov-301,clinical-evidence,"Thoracic physicians want stronger biomarker detection when tissue is limited and are specifically interested in liquid biopsy alongside solid tumor profiling to capture additional actionable variants.","Asked for evidence that combined solid tumor and liquid biopsy testing can identify clinically actionable variants that may be missed by tissue-only testing in metastatic thoracic disease.",2026-04-08
crm-302,prov-301,clinical-evidence,"Team is evaluating DNA sequencing plus whole transcriptome RNA sequencing because they believe DNA-only testing may miss driver fusions and altered splicing in difficult-to-profile lung cancer cases.","Requested a concise comparison showing how DNA plus RNA sequencing improves driver fusion detection and supports targeted therapy selection in non-small cell lung cancer.",2026-04-15
crm-303,prov-302,integration,"Molecular pathology leadership wants tumor-normal matched sequencing to reduce somatic false positives and improve confidence in true somatic alteration identification.","Asked for a phased implementation plan for solid tumor plus normal match that supports pathology workflow while improving somatic calling accuracy versus tumor-only analysis.",2026-04-09
crm-304,prov-302,clinical-evidence,"Pathology team also wants a single platform for somatic plus germline testing so inherited risk and clinically relevant somatic findings can be reviewed in one workflow.","Requested examples showing how integrated somatic plus germline testing can simplify ordering and produce a more complete molecular profile for pathologist review.",2026-04-17
crm-305,prov-303,clinical-evidence,"Breast oncology lead is interested in a single platform for somatic plus germline testing to identify hereditary risk while keeping solid tumor testing in one coordinated workflow.","Asked whether integrated somatic plus germline testing can support breast cancer treatment planning and hereditary risk assessment without adding a separate ordering path.",2026-04-11
crm-306,prov-303,roi,"Open to a focused pilot if the breast program can show clearer molecular visibility and a practical value story for expanding precision testing.","Budget owner asked for a short value summary but is less focused on liquid biopsy or tumor-normal matched sequencing than on the single-platform testing model.",2026-04-16
crm-307,prov-304,clinical-evidence,"Solid tumor team wants better detection of actionable variants and is exploring liquid biopsy as an add-on when tissue is insufficient or delayed.","Requested an overview of how solid tumor plus liquid biopsy can improve biomarker detection and support therapy decisions in high-volume metastatic solid tumor workflows.",2026-04-10
crm-308,prov-304,clinical-evidence,"Physicians are also exploring DNA sequencing plus whole transcriptome RNA sequencing for fusion-rich cases where RNA evidence could change therapy selection.","Asked whether DNA plus RNA sequencing can surface fusions and altered splicing that may not be captured in a DNA-only approach.",2026-04-18
crm-309,prov-305,operations,"Program leadership is primarily focused on reimbursement pressure, infusion capacity, and clinic throughput rather than new molecular profiling expansion this quarter.","Discussion centered on staffing, scheduling, and prior authorization workflow. No active request for liquid biopsy, somatic plus germline, tumor-normal matched sequencing, or RNA sequencing.",2026-04-12
crm-310,prov-305,general,"Open to future education, but current priorities are operational consistency and referral management rather than expanded precision oncology testing.","Mentioned interest in a simple capabilities overview only. No immediate push for new molecular profiling workflows.",2026-04-20
crm-311,prov-306,operations,"Community site wants better care coordination, referral tracking, and patient access reporting before evaluating new genomic testing programs.","Medical director emphasized network growth, appointment access, and administrative burden reduction rather than molecular profiling strategy.",2026-04-07
crm-312,prov-306,operations,"Current review focused on front-desk capacity, scheduling, and community outreach metrics rather than assay expansion or precision testing changes.","Follow-up note stated there is no active request for liquid biopsy, RNA sequencing, tumor-normal matching, or hereditary risk testing this quarter.",2026-04-19
